mechanism,missing_frac,seed,method,nrmse,nrmse_refnorm
mcar,0.45,2024,softimpute,0.9149818391260918,0.938306019499846
mcar,0.45,7,knn_k10,1.0652551546171005,1.0528477641206535
mcar,0.45,7,knn_k5,1.07840223508531,1.0666815940348395
mcar,0.45,7,softimpute,0.9570875419272918,0.9462534577366737
mcar,0.45,99,knn_k10,1.0814213797350383,1.0886017079017374
mcar,0.45,99,knn_k5,1.0931452642784523,1.1001935255096633
mcar,0.45,99,softimpute,0.942240986813893,0.9570885141788168
mcar,0.45,555,knn_k10,1.0582692120493549,1.1186657221174532
mcar,0.45,555,knn_k5,1.0748101237642997,1.1320471452823906
mcar,0.45,555,softimpute,0.9534706836483702,0.916061634411065
mcar,0.45,31337,knn_k10,1.096071993525674,1.0817434018040668
mcar,0.45,31337,knn_k5,1.119401553543651,1.0889027511456955
mcar,0.45,31337,softimpute,0.957146841270506,0.9286726253010413
mcar,0.5,123,knn_k10,1.0579776257432658,1.1056473610331663
mcar,0.5,123,knn_k5,1.0697465708570535,1.1250049342779234
mcar,0.5,123,softimpute,0.9606056817182934,0.9809583485960447
mcar,0.5,456,knn_k10,1.0713917568376863,1.0359884402499868
mcar,0.5,456,knn_k5,1.0846585418735901,1.058224712248565
mcar,0.5,456,softimpute,0.999940327656383,0.9218201698546817
mcar,0.5,789,knn_k10,1.086065525759346,1.0777552253743736
mcar,0.5,789,knn_k5,1.1021511216561959,1.1185881415590395
mcar,0.5,789,softimpute,0.9777227523016131,0.9853860157549423
mcar,0.5,1024,knn_k10,1.0937247460636912,1.0966615585568222
mcar,0.5,1024,knn_k5,1.108744256703365,1.1172830569790633
mcar,0.5,1024,softimpute,0.9677039946508714,0.9663948054061884
mcar,0.5,1337,knn_k10,1.0587484530087776,1.1038602688931194
mcar,0.5,1337,knn_k5,1.0747260378674137,1.1191245080745214
mcar,0.5,1337,softimpute,0.9718666149608985,0.9490591226257059
mcar,0.5,2024,knn_k10,1.0880808638001223,1.143675432687514
mcar,0.5,2024,knn_k5,1.1110529245284317,1.1661496641172022
mcar,0.5,2024,softimpute,0.944133189329052,0.9676673213130695
mcar,0.5,7,knn_k10,1.1189128624898876,1.0566311249397065
mcar,0.5,7,knn_k5,1.1359436028742051,1.0837493944891243
mcar,0.5,7,softimpute,0.9932567217115805,0.9684593110359159
mcar,0.5,99,knn_k10,1.0764603250617872,1.092616727085997
mcar,0.5,99,knn_k5,1.0938798786485433,1.114392277391442
mcar,0.5,99,softimpute,0.9989173156853545,1.003326556478009
mcar,0.5,555,knn_k10,1.049560094214761,1.091680021891198
mcar,0.5,555,knn_k5,1.0715377249000753,1.0990119721610212
mcar,0.5,555,softimpute,0.9563013483894486,0.9525126174972207
mcar,0.5,31337,knn_k10,1.0952820009225381,1.0905089152057759
mcar,0.5,31337,knn_k5,1.1067738865129222,1.1028829560534035
mcar,0.5,31337,softimpute,0.9526134875997195,0.950772116691696
mar,0.05,123,knn_k10,0.6373062711192793,0.4599374558900415
mar,0.05,123,knn_k5,0.6529031006795635,0.43559724758832463
mar,0.05,123,softimpute,0.8383773326100646,0.6520816245827773
mar,0.05,456,knn_k10,0.6605755746509174,0.5339860369394138
mar,0.05,456,knn_k5,0.647815441583579,0.5365492176481867
mar,0.05,456,softimpute,0.8103599144301503,0.63785624231076
mar,0.05,789,knn_k10,0.6660191209744742,0.6081164760170954
mar,0.05,789,knn_k5,0.6692088535716584,0.6057735677412887
mar,0.05,789,softimpute,0.8250617693125104,0.6971620153490052
mar,0.05,1024,knn_k10,0.6317819596799616,0.5600290936474062
mar,0.05,1024,knn_k5,0.6320562821496217,0.5408774763422893
mar,0.05,1024,softimpute,0.847900478117939,0.6496053753573564
mar,0.05,1337,knn_k10,0.6667652690115736,0.48530109707834085
mar,0.05,1337,knn_k5,0.64421498687323,0.5117166886578097
mar,0.05,1337,softimpute,0.8331371074565379,0.6208670936717517
mar,0.05,2024,knn_k10,0.6392302849084921,0.4577759676989215
mar,0.05,2024,knn_k5,0.6358784169567282,0.47440982664470494
mar,0.05,2024,softimpute,0.8204461696013711,0.5986360373879911
mar,0.05,7,knn_k10,0.6567174884850785,0.5272455478093042
mar,0.05,7,knn_k5,0.6311689247819606,0.5326531399482283
mar,0.05,7,softimpute,0.8329725815924132,0.678521902803768
mar,0.05,99,knn_k10,0.6437488471721161,0.5682685356619064
mar,0.05,99,knn_k5,0.591953859168213,0.5812043768519499
mar,0.05,99,softimpute,0.7984615035829203,0.6421225733269198
