method,target,target_type,regressor,cv_seed,r2,rmse
softimpute,Protein,macro,ridge,0,0.6897792622468233,6.101520266880015
softimpute,Protein,macro,ridge,1,0.7370037056087277,5.563282776429551
softimpute,Protein,macro,ridge,2,0.7575438868440427,5.590854313881501
softimpute,Protein,macro,ridge,3,0.7642029930982082,5.2912957162310805
softimpute,Protein,macro,ridge,4,0.7042081745635859,5.920923037581221
softimpute,Protein,macro,knr,0,0.7440341455641353,5.785537639552532
softimpute,Protein,macro,knr,1,0.7352312298774157,5.81506038148097
softimpute,Protein,macro,knr,2,0.7440110885497762,5.751665235629691
softimpute,Protein,macro,knr,3,0.7230908294283676,5.961071502163664
softimpute,Protein,macro,knr,4,0.74036117903573,5.8047191884002824
softimpute,Fat,macro,rf,0,0.944810674078551,2.958474942953854
softimpute,Fat,macro,rf,1,0.9505038835122974,3.0298351986028624
softimpute,Fat,macro,rf,2,0.9527363029303343,2.910812901549692
softimpute,Fat,macro,rf,3,0.9510221426370042,3.0079959199017003
softimpute,Fat,macro,rf,4,0.9472291112694748,3.0830404515506675
softimpute,Fat,macro,ridge,0,0.89647785519453,2.9286214478533115
softimpute,Fat,macro,ridge,1,0.9413660236138955,3.0243233080293366
softimpute,Fat,macro,ridge,2,0.9660439930793892,2.420152205788638
softimpute,Fat,macro,ridge,3,0.9675105880208319,2.446528662263902
softimpute,Fat,macro,ridge,4,0.9670106091051774,2.378028166915474
softimpute,Fat,macro,knr,0,0.6962850638625634,6.7835983308356544
softimpute,Fat,macro,knr,1,0.7646063900646227,6.616082246636289
softimpute,Fat,macro,knr,2,0.7453115759048583,6.667778992434592
softimpute,Fat,macro,knr,3,0.7711635005412604,6.4504655893911975
softimpute,Fat,macro,knr,4,0.7562758817253833,6.571535802009135
softimpute,Carbohydrate,macro,rf,0,0.9181884882412368,7.063068647067839
softimpute,Carbohydrate,macro,rf,1,0.9216811705475869,6.81876041650703
softimpute,Carbohydrate,macro,rf,2,0.9198874974774632,6.956019457763634
softimpute,Carbohydrate,macro,rf,3,0.9094938891198707,7.427675535531546
softimpute,Carbohydrate,macro,rf,4,0.9230052687296183,6.883379635230706
softimpute,Carbohydrate,macro,ridge,0,0.9522990067844714,5.370577917630944
softimpute,Carbohydrate,macro,ridge,1,0.9468234308002355,5.421090541886864
softimpute,Carbohydrate,macro,ridge,2,0.9481530077729345,5.523805627635334
softimpute,Carbohydrate,macro,ridge,3,0.9494414621900974,5.485019427049141
softimpute,Carbohydrate,macro,ridge,4,0.9538104968610345,5.3174296271022
softimpute,Carbohydrate,macro,knr,0,0.8210229420325927,10.522270875379277
softimpute,Carbohydrate,macro,knr,1,0.8123674133378799,10.600787403637842
softimpute,Carbohydrate,macro,knr,2,0.8072181387299346,10.833850920605533
softimpute,Carbohydrate,macro,knr,3,0.8136162814954551,10.68509880631591
softimpute,Carbohydrate,macro,knr,4,0.8219838205187708,10.50326829962769
softimpute,Calcium,micro,rf,0,0.5129377060202911,230.56051129872785
softimpute,Calcium,micro,rf,1,0.4349835757068378,235.9938702062249
softimpute,Calcium,micro,rf,2,0.4924749449407707,230.5969972263352
softimpute,Calcium,micro,rf,3,0.37325346333069326,231.13508577962693
softimpute,Calcium,micro,rf,4,0.4287092854013621,237.3693106025713
softimpute,Calcium,micro,ridge,0,0.39136458890804876,260.39917882988067
softimpute,Calcium,micro,ridge,1,0.08431590946297354,316.93360536759553
softimpute,Calcium,micro,ridge,2,-0.6185408027563598,370.0366169622363
softimpute,Calcium,micro,ridge,3,-1.6011599283995566,364.9180957082067
softimpute,Calcium,micro,ridge,4,0.10103828682580589,295.046788984491
softimpute,Calcium,micro,knr,0,0.48076544695638856,237.77694548297404
softimpute,Calcium,micro,knr,1,0.4892875844657619,225.56692016162387
softimpute,Calcium,micro,knr,2,0.4779875061317641,232.66089519718162
softimpute,Calcium,micro,knr,3,0.46732472448364426,224.03478178833976
softimpute,Calcium,micro,knr,4,0.4902124619688209,227.64579535369208
softimpute,Iron,micro,rf,0,0.14810917252561911,5.024961912837212
softimpute,Iron,micro,rf,1,0.22479506799819973,4.789165658954662
softimpute,Iron,micro,rf,2,0.05907165369408807,5.313696921279259
softimpute,Iron,micro,rf,3,0.11618314637766422,5.0760158784911855
softimpute,Iron,micro,rf,4,0.194184297170536,5.015821040130219
softimpute,Iron,micro,ridge,0,-0.9683173703616739,6.362525126143356
softimpute,Iron,micro,ridge,1,-1.1481888012838153,6.600057023102131
softimpute,Iron,micro,ridge,2,-0.32356071359431143,6.016775068358517
softimpute,Iron,micro,ridge,3,-0.5293569291424933,6.175347732539411
softimpute,Iron,micro,ridge,4,-0.8194103483665003,6.854607068580259
softimpute,Iron,micro,knr,0,0.0566160556022989,5.30317390252105
softimpute,Iron,micro,knr,1,0.12368390448036741,5.083500396676145
softimpute,Iron,micro,knr,2,0.08951698040381992,5.301074636353077
softimpute,Iron,micro,knr,3,0.11130002410543324,5.235967943460503
softimpute,Iron,micro,knr,4,0.04382327523259795,5.364885776134187
softimpute,Vitamin_C,micro,rf,0,0.6307140276164909,15.315465301228793
softimpute,Vitamin_C,micro,rf,1,0.6731341921521287,14.382124035823546
softimpute,Vitamin_C,micro,rf,2,0.5900454589923111,15.090622702531373
