method,target,target_type,regressor,cv_seed,r2,rmse
masked_nmf,Iron,micro,knr,2,0.10291555609351337,5.115297150451937
masked_nmf,Iron,micro,knr,3,0.07012657174282619,5.169236806441304
masked_nmf,Iron,micro,knr,4,0.10249757098717897,5.067054162891678
masked_nmf,Vitamin_C,micro,rf,0,-0.1622407703987137,69.43017730212601
masked_nmf,Vitamin_C,micro,rf,1,-0.47981515729449653,68.33239564489072
masked_nmf,Vitamin_C,micro,rf,2,-0.36627207769314657,67.22237002768496
masked_nmf,Vitamin_C,micro,rf,3,-0.6517135096237581,64.60430072454221
masked_nmf,Vitamin_C,micro,rf,4,-0.1845136901368723,72.02970321045204
masked_nmf,Vitamin_C,micro,ridge,0,0.012675810185014558,64.56289792717749
masked_nmf,Vitamin_C,micro,ridge,1,0.00290033552685891,62.27733448096907
masked_nmf,Vitamin_C,micro,ridge,2,0.016200378130125516,61.90014314672781
masked_nmf,Vitamin_C,micro,ridge,3,-0.008107575529569,57.698336846367056
masked_nmf,Vitamin_C,micro,ridge,4,0.00864451322194575,66.87726220123878
masked_nmf,Vitamin_C,micro,knr,0,-0.348296889565998,72.3247476726116
masked_nmf,Vitamin_C,micro,knr,1,-0.5426211878030024,70.28720954803372
masked_nmf,Vitamin_C,micro,knr,2,-0.5124510798820361,70.29005600722192
masked_nmf,Vitamin_C,micro,knr,3,-1.1193654290079127,67.50873189664587
masked_nmf,Vitamin_C,micro,knr,4,-0.20864609303348097,73.37714723971705
mice,Protein,macro,rf,0,0.917296287687055,3.098326680229989
mice,Protein,macro,rf,1,0.9114648157510267,3.208201163692535
mice,Protein,macro,rf,2,0.903195694277187,3.362261118659054
mice,Protein,macro,rf,3,0.9134640979366262,3.164988987600035
mice,Protein,macro,rf,4,0.9107621933269723,3.208758804822623
mice,Protein,macro,ridge,0,0.8682813486327973,3.8226430606884194
mice,Protein,macro,ridge,1,0.8525748544248068,3.9779986864101837
mice,Protein,macro,ridge,2,0.8840430222676952,3.6562410347045593
mice,Protein,macro,ridge,3,0.8900975038659361,3.550072069092664
mice,Protein,macro,ridge,4,0.8750148782140504,3.770874312621191
mice,Protein,macro,knr,0,0.8653161146140078,3.9582563404867512
